2026-04-15 16:25:17 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Will watch for changes in these directories: ['C:\\Users\\admin\\Desktop\\Hello-Wiki\\apps\\backend']
2026-04-15 16:25:17 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-04-15 16:25:17 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Started reloader process [10184] using WatchFiles
2026-04-15 16:25:18 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:25:18 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:25:19 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:25:19 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:25:19 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:25:19 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.infrastructure.observability.otel_runtime | OpenTelemetry configured. endpoint=http://localhost:6006/v1/traces runtime=api
2026-04-15 16:25:19 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Started server process [17484]
2026-04-15 16:25:19 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Waiting for application startup.
2026-04-15 16:25:19 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.main | Initializing Hello Wiki Backend services...
2026-04-15 16:25:20 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Application startup complete.
2026-04-15 16:25:20 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:25:20 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
